,name,accept,level
1044,Reverse Subarray To Maximize Array Value    ,35.4%,Hard
706,Walking Robot Simulation    ,35.4%,Easy
465,Out of Boundary Paths    ,35.4%,Medium
18,Remove Nth Node From End of List    ,35.3%,Medium
180,Rotate Array    ,35.3%,Medium
937,Last Substring in Lexicographical Order    ,35.2%,Hard
569,Remove Comments    ,35.2%,Medium
868,Escape a Large Maze    ,35.2%,Hard
1092,Cinema Seat Allocation    ,35.1%,Medium
75,Minimum Window Substring    ,35.1%,Hard
669,New 21 Game    ,35.1%,Medium
943,Can Make Palindrome from Substring    ,35.1%,Medium
594,Reach a Number    ,35.0%,Medium
32,Search in Rotated Sorted Array    ,35.0%,Medium
610,Swap Adjacent in LR String    ,35.0%,Medium
209,The Skyline Problem    ,34.9%,Hard
62,Unique Paths II    ,34.8%,Medium
54,Jump Game    ,34.8%,Medium
746,X of a Kind in a Deck of Cards    ,34.8%,Easy
379,LFU Cache    ,34.8%,Hard
277,Patching Array    ,34.7%,Hard
27,Implement strStr()    ,34.7%,Easy
123,Binary Tree Maximum Path Sum    ,34.7%,Hard
529,Cut Off Trees for Golf Event    ,34.7%,Hard
53,Spiral Matrix    ,34.6%,Medium
1248,Maximum Sum Obtained of Any Permutation    ,34.6%,Medium
587,Prefix and Suffix Search    ,34.5%,Hard
887,Adding Two Negabinary Numbers    ,34.5%,Medium
471,Tag Validator    ,34.5%,Hard
68,Sqrt(x)    ,34.4%,Easy
56,Insert Interval    ,34.4%,Medium
584,Cherry Pickup    ,34.4%,Hard
479,Non-negative Integers without Consecutive Ones    ,34.3%,Hard
1146,Maximum Number of Darts Inside of a Circular Dartboard    ,34.3%,Hard
42,Multiply Strings    ,34.3%,Medium
1,Add Two Numbers    ,34.3%,Medium
310,Insert Delete GetRandom O(1) - Duplicates allowed    ,34.3%,Hard
437,K-diff Pairs in an Array    ,34.2%,Medium
314,Mini Parser    ,34.1%,Medium
730,Bitwise ORs of Subarrays    ,34.1%,Medium
86,Scramble String    ,34.1%,Hard
17,4Sum    ,34.1%,Medium
759,Three Equal Parts    ,34.1%,Hard
145,LRU Cache    ,34.1%,Medium
1197,Maximum Number of Non-Overlapping Substrings    ,34.0%,Hard
282,Palindrome Pairs    ,34.0%,Hard
429,Longest Uncommon Subsequence II    ,34.0%,Medium
971,Maximum Equal Frequency    ,34.0%,Hard
1085,Frog Position After T Seconds    ,34.0%,Hard
976,Replace the Substring for Balanced String    ,33.9%,Medium
237,Trips and Users    ,33.9%,Hard
750,Maximum Sum Circular Subarray    ,33.9%,Medium
745,Cat and Mouse    ,33.7%,Hard
1073,Largest Multiple of Three    ,33.7%,Hard
494,Course Schedule III    ,33.5%,Hard
139,Word Break II    ,33.3%,Hard
57,Length of Last Word    ,33.3%,Easy
391,Heaters    ,33.3%,Medium
787,Delete Columns to Make Sorted II    ,33.3%,Medium
739,Sum of Subarray Minimums    ,33.2%,Medium
70,Simplify Path    ,33.1%,Medium
326,Integer Replacement    ,33.1%,Medium
186,Tenth Line    ,33.0%,Easy
80,Search in Rotated Sorted Array II    ,33.0%,Medium
30,Next Permutation    ,32.9%,Medium
40,First Missing Positive    ,32.9%,Hard
365,Arithmetic Slices II - Subsequence    ,32.9%,Hard
1090,Maximum Performance of a Team    ,32.9%,Hard
915,Longest Well-Performing Interval    ,32.9%,Medium
627,Valid Tic-Tac-Toe State    ,32.8%,Medium
738,Super Palindromes    ,32.8%,Hard
166,Dungeon Game    ,32.7%,Hard
537,Redundant Connection II    ,32.7%,Hard
353,All O`one Data Structure    ,32.7%,Hard
263,Minimum Height Trees    ,32.6%,Medium
1165,Find Two Non-overlapping Sub-arrays Each With Target Sum    ,32.5%,Medium
538,Repeated String Match    ,32.5%,Medium
847,Smallest Integer Divisible by K    ,32.5%,Medium
559,Random Pick with Blacklist    ,32.5%,Hard
773,Valid Mountain Array    ,32.5%,Easy
723,Sum of Subsequence Widths    ,32.4%,Hard
151,Maximum Product Subarray    ,32.3%,Medium
168,Second Highest Salary    ,32.2%,Easy
496,Sum of Square Numbers    ,32.1%,Medium
134,Candy    ,32.1%,Hard
329,Nth Digit    ,32.1%,Medium
566,Find K-th Smallest Pair Distance    ,32.0%,Hard
169,Nth Highest Salary    ,32.0%,Medium
1253,Maximum Non Negative Product in a Matrix    ,31.9%,Medium
876,Longest Duplicate Substring    ,31.9%,Hard
96,Interleaving String    ,31.9%,Hard
734,Numbers At Most N Given Digit Set    ,31.8%,Hard
195,Count Primes    ,31.8%,Easy
452,Next Greater Element III    ,31.8%,Medium
703,Minimum Number of Refueling Stops    ,31.6%,Hard
224,Number of Digit One    ,31.5%,Hard
481,Can Place Flowers    ,31.5%,Easy
1065,Construct Target Array With Multiple Sums    ,31.5%,Hard
938,Invalid Transactions    ,31.3%,Medium
161,Excel Sheet Column Title    ,31.3%,Easy
493,K Inverse Pairs Array    ,31.3%,Hard
466,Shortest Unsorted Continuous Subarray    ,31.2%,Medium
532,Valid Parenthesis String    ,31.2%,Medium
1156,Maximum Area of a Piece of Cake After Horizontal and Vertical Cuts    ,31.2%,Medium
1237,Shortest Subarray to be Removed to Make Array Sorted    ,31.2%,Medium
60,Rotate List    ,31.1%,Medium
1206,String Compression II    ,31.0%,Hard
635,Bricks Falling When Hit    ,31.0%,Hard
44,Jump Game II    ,30.9%,Hard
320,Perfect Rectangle    ,30.7%,Hard
2,Longest Substring Without Repeating Characters    ,30.7%,Medium
298,Water and Jug Problem    ,30.7%,Medium
1178,Parallel Courses II    ,30.7%,Hard
341,Third Maximum Number    ,30.6%,Easy
295,Design Twitter    ,30.6%,Medium
49,"Pow(x, n)    ",30.5%,Medium
131,Palindrome Partitioning II    ,30.5%,Hard
1236,Number of Ways to Split a String    ,30.4%,Medium
126,Word Ladder    ,30.3%,Medium
1060,Tweet Counts Per Frequency    ,30.3%,Medium
272,Wiggle Sort II    ,30.2%,Medium
205,Shortest Palindrome    ,30.1%,Hard
3,Median of Two Sorted Arrays    ,30.1%,Hard
1064,Maximum Number of Events That Can Be Attended    ,29.9%,Medium
171,Largest Number    ,29.9%,Medium
613,Reaching Points    ,29.8%,Hard
1172,Making File Names Unique    ,29.8%,Medium
4,Longest Palindromic Substring    ,29.7%,Medium
376,Circular Array Loop    ,29.5%,Medium
158,Compare Version Numbers    ,29.5%,Medium
383,Can I Win    ,29.4%,Medium
1212,Can Convert String in K Moves    ,29.4%,Medium
260,Additive Number    ,29.4%,Medium
360,K-th Smallest in Lexicographical Order    ,29.3%,Hard
395,Largest Palindrome Product    ,29.2%,Hard
1269,Split Two Strings to Make Palindrome    ,29.1%,Medium
1170,Kth Ancestor of a Tree Node    ,29.1%,Hard
375,132 Pattern    ,28.9%,Medium
691,Buddy Strings    ,28.9%,Easy
31,Longest Valid Parentheses    ,28.7%,Hard
710,Nth Magical Number    ,28.6%,Hard
129,Surrounded Regions    ,28.6%,Medium
331,Remove K Digits    ,28.5%,Medium
384,Count The Repetitions    ,28.3%,Hard
281,Self Crossing    ,28.3%,Hard
67,Text Justification    ,28.3%,Hard
1222,Minimum Number of Days to Eat N Oranges    ,28.1%,Hard
179,Best Time to Buy and Sell Stock IV    ,28.1%,Hard
97,Validate Binary Search Tree    ,28.0%,Medium
241,Integer to English Words    ,27.4%,Hard
14,3Sum    ,27.3%,Medium
270,Create Maximum Number    ,27.2%,Hard
719,Super Egg Drop    ,27.1%,Hard
1249,Make Sum Divisible by P    ,27.1%,Medium
500,Decode Ways II    ,27.0%,Hard
742,Smallest Range II    ,27.0%,Medium
9,Regular Expression Matching    ,27.0%,Hard
1265,Maximum Number of Visible Points    ,26.7%,Hard
637,Split Array With Same Average    ,26.4%,Hard
956,Ugly Number III    ,26.3%,Medium
6,Reverse Integer    ,25.8%,Easy
183,Word Frequency    ,25.8%,Medium
29,Substring with Concatenation of All Words    ,25.7%,Hard
952,K-Concatenation Maximum Sum    ,25.6%,Medium
405,Reverse Pairs    ,25.5%,Hard
184,Valid Phone Numbers    ,25.3%,Easy
90,Decode Ways    ,25.2%,Medium
1173,Avoid Flood in The City    ,25.1%,Medium
557,Design Linked List    ,25.1%,Medium
43,Wildcard Matching    ,25.0%,Hard
698,Prime Palindrome    ,25.0%,Medium
694,Shortest Subarray with Sum at Least K    ,24.8%,Hard
430,Continuous Subarray Sum    ,24.6%,Medium
712,Decoded String at Index    ,24.4%,Medium
386,Validate IP Address    ,24.4%,Medium
185,Transpose File    ,24.3%,Medium
125,Word Ladder II    ,22.7%,Hard
150,Reverse Words in a String    ,22.5%,Medium
159,Fraction to Recurring Decimal    ,21.9%,Medium
211,Contains Duplicate III    ,21.3%,Medium
459,Find the Closest Palindrome    ,20.0%,Hard
520,Non-decreasing Array    ,19.5%,Easy
148,Max Points on a Line    ,17.1%,Hard
28,Divide Two Integers    ,16.5%,Medium
7,String to Integer (atoi)    ,15.5%,Medium
64,Valid Number    ,15.5%,Hard
346,Strong Password Checker    ,13.7%,Hard
